u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,speed_kph,travel_time,road_edge_id,original_u,original_v,original_key,original_osmid,road_node_u,road_node_v,bridge,tunnel,access,junction
1837712682,1837712629,0,"[172936634, 175420518]",motorway_link,,,,True,,False,558.5043523901669,"LINESTRING (116.5319342 39.9399292, 116.5326073 39.9398887, 116.5342367 39.9397479, 116.5345292 39.9397098, 116.5348529 39.93964, 116.5351451 39.9395247, 116.5353656 39.9393945, 116.5355354 39.9392469, 116.5357184 39.9390157, 116.5359444 39.9386147, 116.5362993 39.9372484)",51.666666666666664,38.915141972992274,edge_000444,1837712682,1837712629,0,"[172936634, 175420518]",node_000396,node_000376,yes,,,
746964268,10048484062,0,226280299,trunk,,,建国门外大街,True,G103,False,259.6405046000767,"LINESTRING (116.4453632 39.9070221, 116.448407 39.9069964)",72.99638989169675,12.804822511730787,edge_000445,746964268,10048484062,0,226280299,node_000398,node_004533,,,,
9399878959,9126697195,0,238767505,trunk,,,京福路,False,G104;G105,False,801.6531688638097,"LINESTRING (116.4563492 39.7294133, 116.4563141 39.7299623, 116.4562809 39.730244, 116.4562444 39.7305417, 116.4561713 39.7308877, 116.4560587 39.731238, 116.4559605 39.73148, 116.4558164 39.731766, 116.455626 39.7320501, 116.455415 39.7322968, 116.4551919 39.7325262, 116.4548658 39.7328088, 116.4545509 39.7330204, 116.4542982 39.7331468, 116.4536807 39.7334798, 116.4530921 39.7337851, 116.4528505 39.733909, 116.4526052 39.7340422, 116.4523236 39.7342299, 116.4521722 39.7343389, 116.4520115 39.734464, 116.4518259 39.7346352, 116.4517821 39.7346804, 116.4516176 39.7348702, 116.4515068 39.7350191, 116.451447 39.7350995)",72.99638989169675,39.5355361024229,edge_000446,9399878959,9126697195,0,238767505,node_000399,node_002148,,,,
9399878959,9399878951,0,238767505,trunk,,,京福路,False,G104;G105,True,145.49620086557718,"LINESTRING (116.4563492 39.7294133, 116.4563972 39.7290316, 116.4564172 39.7288544, 116.4564575 39.7285863, 116.4565025 39.7283469, 116.4565611 39.7281159)",72.99638989169675,7.175509965536774,edge_000447,9399878959,9399878951,0,238767505,node_000399,node_000394,,,,
1807828273,1807828205,0,"[169616144, 169616157, 169616135]",motorway_link,,,,True,,False,391.92416339414274,"LINESTRING (116.4373702 39.989034, 116.4366844 39.9885134, 116.4363263 39.9882592, 116.4359659 39.9880763, 116.4356198 39.9879409, 116.4352713 39.9878294, 116.43493 39.9877507, 116.4345576 39.9877123, 116.4342521 39.987694, 116.4333426 39.9876867)",51.666666666666664,27.30826428810801,edge_000448,1807828273,1807828205,0,"[169616144, 169616157, 169616135]",node_000400,node_000373,yes,,,
1807828273,1807827989,0,"[169616121, 169616148, 169616153]",motorway_link,,,,True,,False,573.8850326584148,"LINESTRING (116.4373702 39.989034, 116.4369978 39.988618, 116.4368238 39.9884076, 116.4366444 39.9881416, 116.4364759 39.9878499, 116.4363613 39.9874988, 116.4363303 39.9872665, 116.4363183 39.9870288, 116.4363541 39.9867599, 116.4364329 39.9864801, 116.4365546 39.9862241, 116.436748 39.9859315, 116.4369819 39.9856846, 116.4372158 39.9854925, 116.4375476 39.9852932, 116.4379128 39.9851322, 116.4382351 39.985028, 116.4386337 39.9849425)",51.666666666666664,39.98682808200568,edge_000449,1807828273,1807827989,0,"[169616121, 169616148, 169616153]",node_000400,node_000322,yes,,,
3983803698,8738589755,0,126860193,motorway,2,,机场北线,True,S28,False,40.5704352456219,"LINESTRING (116.4674127 40.1169996, 116.4678892 40.117018)",103.4102564102564,1.412370222783366,edge_000450,3983803698,8738589755,0,126860193,node_000401,node_000963,,,,
1074578737,1074578722,0,"[92623033, 92623034]",motorway_link,,,,True,,False,239.59709581062336,"LINESTRING (116.5363507 39.8425573, 116.5369521 39.8427119, 116.5375218 39.8428293, 116.5379889 39.842881, 116.5384851 39.8429112, 116.5387919 39.8429282, 116.5390969 39.8429304)",51.666666666666664,16.694507320998273,edge_000451,1074578737,1074578722,0,"[92623033, 92623034]",node_000402,node_000390,yes,,,
1074578737,1074578586,0,"[92623032, 92623073, 92623063]",motorway_link,,,,True,,False,687.0171878814531,"LINESTRING (116.5363507 39.8425573, 116.5368911 39.8426375, 116.5373101 39.842689, 116.5379978 39.8427009, 116.5383292 39.8426926, 116.5389532 39.8426066, 116.5399755 39.8424979, 116.5403739 39.8424476, 116.5407668 39.8424132, 116.5410107 39.8423919, 116.5413329 39.8423991, 116.5437707 39.8425569, 116.5443387 39.8426163)",51.666666666666664,47.86958470399802,edge_000452,1074578737,1074578586,0,"[92623032, 92623073, 92623063]",node_000402,node_000348,yes,,,
7142360371,9794904920,0,1066694614,trunk,,,南苑路,True,G104;G105,False,230.29247142447787,"LINESTRING (116.3949341 39.837052, 116.394923 39.8373658, 116.3948607 39.8391223)",72.99638989169675,11.357450667877812,edge_000453,7142360371,9794904920,0,1066694614,node_000403,node_003044,,,,
