osmid,y,x,street_count,road_node_id,original_node_id,highway,ref,junction,geometry
4353390601,39.7145984,116.442627,3,node_005125,4353390601,,,,POINT (116.442627 39.7145984)
1412757515,40.1444188,116.2526312,3,node_005126,1412757515,,,,POINT (116.2526312 40.1444188)
4353390609,39.719526,116.4407803,3,node_005127,4353390609,,,,POINT (116.4407803 39.719526)
2475374611,39.8955248,116.2125244,3,node_005128,2475374611,motorway_junction,12,,POINT (116.2125244 39.8955248)
5749815315,40.1756855,116.2830305,4,node_005129,5749815315,,,,POINT (116.2830305 40.1756855)
317995029,39.8948606,116.4368137,3,node_005130,317995029,motorway_junction,,,POINT (116.4368137 39.8948606)
4353390613,39.7232954,116.4435554,3,node_005131,4353390613,,,,POINT (116.4435554 39.7232954)
1320351766,39.7663275,116.2123234,3,node_005132,1320351766,,,,POINT (116.2123234 39.7663275)
2475374616,39.8956373,116.2181965,3,node_005133,2475374616,,,,POINT (116.2181965 39.8956373)
2475374619,39.8957487,116.2199661,3,node_005134,2475374619,motorway_junction,12,,POINT (116.2199661 39.8957487)
317995036,39.8933075,116.437769,3,node_005135,317995036,,,,POINT (116.437769 39.8933075)
2475374622,39.8959078,116.2181734,3,node_005136,2475374622,,,,POINT (116.2181734 39.8959078)
530659362,39.8839131,116.3423748,3,node_005137,530659362,,,,POINT (116.3423748 39.8839131)
1808447522,40.0296744,116.6008878,3,node_005138,1808447522,,,,POINT (116.6008878 40.0296744)
8498001956,39.8479994,116.6333169,3,node_005139,8498001956,,,,POINT (116.6333169 39.8479994)
1736505380,39.9435771,116.4276166,3,node_005140,1736505380,motorway_junction,,,POINT (116.4276166 39.9435771)
1736505381,39.9428016,116.4274588,3,node_005141,1736505381,,,,POINT (116.4274588 39.9428016)
1736505382,39.944059,116.4273325,3,node_005142,1736505382,,,,POINT (116.4273325 39.944059)
1891399728,39.9233349,116.2031961,3,node_005143,1891399728,motorway_junction,3A,,POINT (116.2031961 39.9233349)
1891399729,39.9233611,116.2112741,3,node_005144,1891399729,,,,POINT (116.2112741 39.9233611)
8498001971,39.8416495,116.6458124,3,node_005145,8498001971,,,,POINT (116.6458124 39.8416495)
8498001972,39.8417195,116.6458652,3,node_005146,8498001972,,,,POINT (116.6458652 39.8417195)
1891399734,39.9234714,116.202403,3,node_005147,1891399734,,,,POINT (116.202403 39.9234714)
277313595,39.9543572,116.207932,4,node_005148,277313595,,,,POINT (116.207932 39.9543572)
1359329343,39.9686594,116.3742194,3,node_005149,1359329343,traffic_signals,,,POINT (116.3742194 39.9686594)
1667135551,39.9956126,116.4898005,3,node_005150,1667135551,,,,POINT (116.4898005 39.9956126)
1359329345,39.9693309,116.3744388,3,node_005151,1359329345,motorway_junction,0,,POINT (116.3744388 39.9693309)
9379117120,39.9219473,116.3357464,4,node_005152,9379117120,,,,POINT (116.3357464 39.9219473)
289552451,40.1538437,116.4781596,3,node_005153,289552451,,,,POINT (116.4781596 40.1538437)
9379117122,39.9218099,116.3357455,4,node_005154,9379117122,,,,POINT (116.3357455 39.9218099)
1891399750,39.9234818,116.2092376,3,node_005155,1891399750,motorway_junction,3B,,POINT (116.2092376 39.9234818)
1359329351,39.9712855,116.374648,3,node_005156,1359329351,,,,POINT (116.374648 39.9712855)
1891399751,39.9234854,116.2116117,3,node_005157,1891399751,motorway_junction,3A,,POINT (116.2116117 39.9234854)
529971273,39.8862407,116.3441472,5,node_005158,529971273,traffic_signals,,,POINT (116.3441472 39.8862407)
1808447566,40.0311434,116.6046624,3,node_005159,1808447566,,,,POINT (116.6046624 40.0311434)
6015613007,39.7216756,116.3787244,3,node_005160,6015613007,motorway_junction,4,,POINT (116.3787244 39.7216756)
1808447568,40.0329437,116.6061532,3,node_005161,1808447568,,,,POINT (116.6061532 40.0329437)
1808447569,40.0333338,116.606171,3,node_005162,1808447569,,,,POINT (116.606171 40.0333338)
1359329361,39.9717475,116.3745382,3,node_005163,1359329361,,,,POINT (116.3745382 39.9717475)
6015613009,39.7182862,116.3782789,3,node_005164,6015613009,,,,POINT (116.3782789 39.7182862)
6015613012,39.7139685,116.3736873,3,node_005165,6015613012,,,,POINT (116.3736873 39.7139685)
6015613013,39.7130074,116.3720928,3,node_005166,6015613013,motorway_junction,,,POINT (116.3720928 39.7130074)
6015613016,39.714307,116.3760239,3,node_005167,6015613016,,,,POINT (116.3760239 39.714307)
1891399769,39.9236878,116.2033523,3,node_005168,1891399769,,,,POINT (116.2033523 39.9236878)
606926942,40.0909581,116.1465478,3,node_005169,606926942,,,,POINT (116.1465478 40.0909581)
1891399774,39.9238147,116.2036394,3,node_005170,1891399774,,,,POINT (116.2036394 39.9238147)
5963937888,39.6784313,116.7026763,3,node_005171,5963937888,,,,POINT (116.7026763 39.6784313)
5963937889,39.6760062,116.7005137,3,node_005172,5963937889,motorway_junction,206,,POINT (116.7005137 39.6760062)
1736505450,39.9481913,116.4237585,3,node_005173,1736505450,,,,POINT (116.4237585 39.9481913)
5963937899,39.6807591,116.7051482,3,node_005174,5963937899,,,,POINT (116.7051482 39.6807591)
388003950,39.9954757,116.4458816,3,node_005175,388003950,,,,POINT (116.4458816 39.9954757)
