road_edge_id,original_u,original_v,original_key,original_osmid,road_node_u,road_node_v
edge_005756,1938274038,605248343,0,"[26428067, 26428068, 26428071, 26428072, 26428075, 26428076, 26428079, 26428081, 26428083, 26428084, 26428087, 26428088, 26428089, 26428090, 26428091, 26428092, 26428093, 26428094, 26428095, 26428096, 26428099, 26428100, 26427975]",node_004978,node_002334
edge_005757,8001107702,3247242041,0,858280733,node_004979,node_005453
edge_005758,321566454,1995887127,0,"[1474599649, 1474599650, 47682215, 47682216, 1474599656, 1474599655, 29235954, 406672723, 406672725, 1124619894, 1124619895, 42499032, 252847518]",node_004980,node_001533
edge_005759,1758312184,1758312081,0,"[164177979, 164178027, 164177949]",node_004981,node_004918
edge_005760,1758312184,1758312053,0,"[164178060, 164177913, 836784972]",node_004981,node_004907
edge_005761,9232283386,9232283387,0,723631643,node_004982,node_004984
edge_005762,701839099,701838941,0,55893943,node_004983,node_004895
edge_005763,9232283387,604840594,0,723631648,node_004984,node_002978
edge_005764,1968142076,10049133800,0,1174281957,node_004985,node_002455
edge_005765,337491713,321415316,0,1148231174,node_004986,node_003626
edge_005766,1758312194,1988898323,0,164178056,node_004987,node_004154
edge_005767,1968142083,1361129386,0,229617204,node_004989,node_004273
edge_005768,1320351494,5356987685,0,1156009680,node_004990,node_003293
edge_005769,1968142087,366533094,0,"[186109736, 620715239]",node_004991,node_002226
edge_005770,381941515,381941558,0,331687344,node_004992,node_005015
edge_005771,381941515,3387865878,0,"[47572617, 47572620, 331687277]",node_004992,node_005441
edge_005772,323139342,1406795708,0,"[1062899224, 29377722, 29377734]",node_004993,node_005830
edge_005773,1807791888,332612530,0,169612217,node_004994,node_000299
edge_005774,1807791888,233760288,0,169612234,node_004994,node_003400
edge_005775,1202992915,1202993070,0,104246077,node_004995,node_005071
edge_005776,1202992915,288038474,0,144789892,node_004995,node_002550
edge_005777,10315134740,1840711617,0,"[175381137, 175381118, 175381134]",node_004996,node_000593
edge_005778,322527847,35871132,0,128949627,node_004998,node_002205
edge_005779,604780315,9792925267,0,159801019,node_004999,node_004180
edge_005780,604780315,604781048,0,"[127464457, 47500556]",node_004999,node_005352
edge_005781,1942435615,9791884151,0,183822139,node_005000,node_000891
edge_005782,1942435615,606972669,0,"[334736609, 405404887]",node_005000,node_003854
edge_005783,1359329056,1805218734,0,"[1233785040, 1172007291]",node_005001,node_004644
edge_005784,1359329056,294119935,0,"[27262137, 1289021219]",node_005001,node_003771
edge_005785,320648992,320648579,0,"[187044306, 240311483, 1272701756]",node_005002,node_004801
edge_005786,1202992928,1202993007,0,104246064,node_005003,node_005041
edge_005787,1202992928,1202993091,0,144821759,node_005003,node_005087
edge_005788,323139363,13470761887,0,127031066,node_005004,node_000289
edge_005789,323139363,1406795723,0,"[29377362, 127031039, 1189182527]",node_005004,node_005837
edge_005790,1359329061,1226548248,0,220918375,node_005005,node_003158
edge_005791,1942435621,1942435615,0,183822159,node_005006,node_005000
edge_005792,10011866920,1298050558,0,1070361809,node_005007,node_004142
edge_005793,1938274090,1938274038,0,183456817,node_005008,node_004978
edge_005794,1808447275,1808447522,0,"[169678194, 169678190]",node_005009,node_005138
edge_005795,1808447275,1808447286,0,"[169678237, 169678238]",node_005009,node_005014
edge_005796,1202992939,1202992885,0,"[33614482, 33614483, 26295103]",node_005010,node_004977
edge_005797,1202992939,1202992854,0,104246072,node_005010,node_004957
edge_005798,381941553,3387865878,0,33506531,node_005011,node_005441
edge_005799,381941553,381941557,0,157838641,node_005011,node_005013
edge_005800,1942435636,1942435643,0,334736596,node_005012,node_005019
edge_005801,381941557,8850181251,0,157838641,node_005013,node_000977
edge_005802,1808447286,370358597,0,169678238,node_005014,node_005279
edge_005803,381941558,606931856,0,"[331687344, 402767329, 402767327]",node_005015,node_000899
edge_005804,1359329081,1359329113,0,121399342,node_005017,node_005032
edge_005805,534116152,1802402427,0,31098940,node_005018,node_005388
edge_005806,1942435643,606972610,0,405404896,node_005019,node_003833
edge_005807,1942435643,4076125676,0,1156210117,node_005019,node_005701
edge_005808,534116155,534116152,0,169081206,node_005021,node_005018
