road_node_id,original_node_id,x,y
node_000001,9249685505,116.6543101,39.8886715
node_000002,9249685506,116.6547315,39.88867
node_000003,321617925,116.3388499,39.8207712
node_000004,321617927,116.3386476,39.8170681
node_000005,249561097,116.3709039,39.990337
node_000006,384253962,116.4978292,39.8693486
node_000007,384253963,116.4987777,39.8694834
node_000008,1406795788,116.7288193,39.9268671
node_000009,321617933,116.340028,39.8008911
node_000010,8823259149,116.2069313,39.9392258
node_000011,249561104,116.3710477,39.9899503
node_000012,279855121,116.2676192,39.9687079
node_000013,8823259155,116.2042453,39.9392278
node_000014,1406795796,116.7342739,39.9278636
node_000015,605962260,116.33907,39.8187055
node_000016,11205361687,116.2373687,39.858685
node_000017,8823259165,116.2046709,39.9392207
node_000018,1637646369,116.2256403,39.8476923
node_000019,279855139,116.2699917,39.9684423
node_000020,1637646373,116.2253303,39.8479958
node_000021,610844719,116.2590464,40.136438
node_000022,1637646385,116.2314786,39.8527789
node_000023,610844725,116.2590867,40.1365929
node_000024,289275959,116.2676222,39.9686052
node_000025,4714905655,116.6614263,39.8838769
node_000026,289275967,116.2685817,39.9667395
node_000027,610844739,116.258292,40.1382311
node_000028,1637646404,116.2450131,39.8619015
node_000029,11205361731,116.2339454,39.8551837
node_000030,1637646406,116.2455368,39.8622739
node_000031,4748148814,116.6059567,40.0510222
node_000032,8736112732,116.4594204,40.0146084
node_000033,245104733,116.4151802,39.8681255
node_000034,2494906467,116.3245362,40.0204162
node_000035,4714905701,116.6190013,39.8907275
node_000036,321421415,116.2686999,39.9423684
node_000037,2494906473,116.3189619,40.0190244
node_000038,321421418,116.269518,39.9487114
node_000039,1637646449,116.2572532,39.8666038
node_000040,610910322,116.3702966,39.9912164
node_000041,1637646452,116.2735893,39.8706323
node_000042,4414947447,116.2121871,39.7203495
node_000043,4414947448,116.2123233,39.7203484
node_000044,1637646457,116.2679888,39.8722076
node_000045,2494906488,116.3233014,40.017012
node_000046,605257852,116.7043448,39.982296
node_000047,2494906493,116.3153589,40.0177441
node_000048,605257856,116.7042452,39.9858972
node_000049,605257860,116.7028813,39.9858178
node_000050,605257863,116.7041369,39.9825116
node_000051,11517182092,116.6823815,39.7173419
node_000052,1637646480,116.2685663,39.8726722
node_000053,1226801299,116.5341813,40.0389716
node_000054,2494906516,116.3214526,40.0187621
node_000055,2494906517,116.319017,40.0183902
node_000056,320520340,116.5672438,39.7506281
node_000057,611025058,116.1451485,39.696066
node_000058,336380069,116.4260281,39.9071777
node_000059,1930526903,116.091465,39.9754498
node_000060,1637646520,116.2745306,39.8748833
node_000061,320520395,116.5675243,39.7472939
node_000062,610844876,116.2751997,40.1106376
node_000063,6015615181,116.3793871,39.7144647
node_000064,8269054160,116.7030752,39.8650375
node_000065,12553961695,116.5844124,39.7125503
node_000066,12553961696,116.584411,39.7127232
node_000067,12472910049,116.3041426,39.8942157
node_000068,380731617,116.2980849,39.9839167
node_000069,4752769249,116.0834132,39.6795448
node_000070,11510333666,116.1801177,39.7639536
node_000071,1226801381,116.5188507,40.0409773
node_000072,1637646565,116.2832867,39.8774021
node_000073,1637646566,116.2847054,39.8775612
node_000074,1637646567,116.2854248,39.8775691
node_000075,1637646568,116.2839846,39.8776755
node_000076,2047656163,116.2812014,39.9752746
node_000077,12553961700,116.5717594,39.7104609
node_000078,2047656165,116.2816547,39.9761472
node_000079,6341247206,116.2897335,39.8775425
node_000080,1226801395,116.5763358,40.0332989
node_000081,605323509,116.3390008,39.8100412
node_000082,1226801397,116.5341652,40.0388464
node_000083,1637646583,116.2923739,39.8792683
node_000084,244252919,116.3510133,39.9392264
node_000085,2873901304,116.3786314,40.0194877
node_000086,1637646586,116.2930986,39.8792729
node_000087,529547515,116.2777086,39.8737864
node_000088,1637646592,116.2967994,39.8800773
node_000089,9123496197,116.2050921,39.6851846
node_000090,1637646599,116.3000421,39.8812206
node_000091,605323528,116.3392726,39.8054214
node_000092,1637646602,116.3005654,39.8815778
node_000093,9123496204,116.2048225,39.6845572
node_000094,9123496212,116.2040881,39.6834426
node_000095,1637646613,116.3046188,39.8836003
node_000096,266109208,116.4189377,39.9070814
node_000097,1637646617,116.3041792,39.8862274
node_000098,289276184,116.2704808,39.9681676
node_000099,1211859227,116.5922964,40.0515909
node_000100,9123496220,116.2040753,39.6836284
node_000101,9123496223,116.2057625,39.6867901
node_000102,1637646624,116.3039972,39.8868086
node_000103,1637646625,116.3039893,39.8912199
node_000104,1637646626,116.3041676,39.8926711
