u,v,key,osmid,highway,oneway,length,speed_kph,travel_time,geometry
1837724850,1074578753,0,92623045,motorway_link,True,163.27118749770523,50.0,11.755525499834777,"LINESTRING (116.5414264 39.8475667, 116.5400493 39.8465478)"
1837724850,1074578666,0,"[42746763, 865448517, 172938399]",motorway,True,826.7748092951355,104.63963963963964,28.444185432142586,"LINESTRING (116.5414264 39.8475667, 116.5409528 39.8470681, 116.5399059 39.8461615, 116.5384324 39.8450703, 116.5374147 39.8443166, 116.5350914 39.8425702, 116.5346641 39.8422581)"
2489324724,1836655602,0,165628675,trunk,True,227.52641645001432,76.73758865248227,10.673974952867585,"LINESTRING (116.2540136 39.8958287, 116.251347 39.8957912)"
1837724855,1837724850,0,865448517,motorway,True,338.32204014086653,104.63963963963964,11.639559814058568,"LINESTRING (116.5431701 39.8502815, 116.5428307 39.849506, 116.5424076 39.8487883, 116.5419695 39.8481801, 116.5414264 39.8475667)"
1837724855,606142362,0,"[865448521, 865458858, 76966759]",motorway_link,True,1249.7128097750995,50.0,89.97932230380715,"LINESTRING (116.5431701 39.8502815, 116.5426979 39.849508, 116.5423517 39.8490299, 116.5419469 39.8485938, 116.5414936 39.8481152, 116.540953 39.8476304, 116.5402413 39.8470197, 116.5400569 39.8468025, 116.5398601 39.8465286, 116.5397422 39.8462643, 116.5396859 39.8460852, 116.5396213 39.8458076, 116.5396183 39.8455063, 116.5397258 39.8449566, 116.5399685 39.8444079, 116.540201 39.8440007, 116.5405068 39.8435851, 116.5406749 39.8434036, 116.5414973 39.8428047, 116.5423543 39.8423585, 116.5427418 39.8421581, 116.5441783 39.8414154)"
1201534136,1634491093,0,150550326,trunk_link,True,96.34961188994849,38.333333333333336,9.048485290534291,"LINESTRING (116.4380061 39.8936814, 116.4380354 39.8945476)"
1201534136,1201534486,0,104129562,trunk_link,True,66.10848263552222,38.333333333333336,6.208448804031652,"LINESTRING (116.4380061 39.8936814, 116.4381201 39.8937542, 116.4382215 39.8937899, 116.4383202 39.8937878, 116.4383853 39.8937673, 116.4384418 39.8937226, 116.4384886 39.8936707, 116.4385464 39.8935379)"
384341181,1938232365,0,"[1097960733, 47501678]",motorway,True,133.64342059908552,104.63963963963964,4.597839937270304,"LINESTRING (116.3031295 39.8829193, 116.3023596 39.8825891, 116.3017629 39.8823321)"
1190950077,1190950055,0,103143707,trunk_link,True,93.53769663891444,38.333333333333336,8.784409771306747,"LINESTRING (116.414028 39.9480837, 116.4129381 39.9481811)"
1190950077,31017991,0,"[1289021025, 1052911052, 1072921774]",trunk,True,739.0844977520301,76.73758865248227,34.67276257476252,"LINESTRING (116.414028 39.9480837, 116.4131014 39.9480475, 116.40864 39.9478999, 116.4053672 39.9477768)"
