node,road_node_id,original_node_id,x,y,unique_neighbor_count,neighbor_node,in_degree,out_degree,connected_edge_count,connected_road_edge_ids,connected_highway,connected_name,connected_total_length_m,connected_oneway,connected_bridge,connected_tunnel
9237995568,node_002730,9237995568,116.6604211,39.8845344,1,9238002547,1,0,1,edge_006336,trunk_link,,36.9280235952242,TRUE,,
9237995570,node_002732,9237995570,116.6673333,39.8789196,1,9237995569,1,0,1,edge_003150,trunk_link,,32.81484002226574,TRUE,,
9237995573,node_002733,9237995573,116.6657608,39.8802038,1,9237995574,1,1,2,edge_003152|edge_003153,trunk_link,,22.556179886283953,FALSE,,
9237995576,node_002735,9237995576,116.6655815,39.8803519,1,9237995579,1,0,1,edge_003156,trunk_link,,32.97168439440012,TRUE,,
9999310928,node_002739,9999310928,116.2903169,39.9456434,1,981930368,0,1,1,edge_003159,"['trunk_link', 'tertiary_link']",,151.9991257054411,TRUE,yes,
9237995609,node_002742,9237995609,116.6601045,39.8852475,1,9237995611,1,1,2,edge_003163|edge_003164,trunk_link,,19.991609309337196,FALSE,,
9237995614,node_002745,9237995614,116.6580572,39.8869166,1,9237995613,1,1,2,edge_003166|edge_003168,trunk_link,,20.393264811209907,FALSE,,
1772249184,node_002746,1772249184,116.0802057,39.725664,1,1772249223,1,0,1,edge_003186,motorway_link,,483.233672140534,TRUE,yes,
1406705764,node_002750,1406705764,116.6730366,39.8335933,1,605264223,0,1,1,edge_003175,motorway_link,,190.80898816817717,TRUE,,
1406705790,node_002756,1406705790,116.672183,39.8352215,1,1406705863,1,0,1,edge_003204,motorway_link,,323.1315063976889,TRUE,,
9832194210,node_002764,9832194210,116.4834782,39.9380575,1,9832194209,0,1,1,edge_003192,trunk_link,,75.89851197478794,TRUE,,
324264114,node_002770,324264114,116.3105056,39.9227624,1,1361129205,1,0,1,edge_004851,trunk_link,,56.14640033538735,TRUE,,
1363518446,node_002778,1363518446,116.4236204,39.8116301,1,1363518447,0,1,1,edge_003207,trunk_link,,58.97033233946864,TRUE,,
1813979339,node_002779,1813979339,116.4503645,40.0069709,1,5348391143,0,1,1,edge_003208,motorway_link,,318.8754218398351,TRUE,,
1406705868,node_002780,1406705868,116.6816855,39.8374849,1,1406705879,0,1,1,edge_003209,motorway_link,,169.81816694551472,TRUE,,
1304748250,node_002784,1304748250,116.5973259,39.9082598,1,321717998,1,0,1,edge_000615,motorway_link,,407.8699110573375,TRUE,,
324264168,node_002791,324264168,116.3043977,39.9261984,1,1745111585,1,0,1,edge_000920,trunk_link,,53.12985454307642,TRUE,,
4978729197,node_002797,4978729197,116.318784,39.6725751,1,605367584,1,0,1,edge_004695,motorway,京开高速,2400.712895845994,TRUE,yes,
321855729,node_002798,321855729,116.4455947,39.9584954,1,35867274,0,1,1,edge_003233,trunk_link,,68.28939645388587,TRUE,,
321855730,node_002799,321855730,116.4468122,39.9575662,1,746441970,0,1,1,edge_003234,trunk_link,,186.00659539244896,TRUE,,
324264187,node_002804,324264187,116.2986042,39.9224764,1,1361129212,1,0,1,edge_004855,trunk_link,,71.96927944812994,TRUE,,
12553658626,node_002809,12553658626,116.1451178,39.7738369,1,12553658627,0,1,1,edge_003246,trunk_link,,171.55357155591622,TRUE,,
